WorkerID,Name,Phone,Hub,ShiftStart,ShiftEnd,Status
W0001,Suresh Kumar,9000000001,Bengaluru_Hub,9:00 AM,6:00 PM,Available
W0002,Ramesh Murthy,9000000002,Bengaluru_Hub,6:00 AM,2:00 PM,On-Duty
W0003,Vijay Kumar,9000000003,Bengaluru_Hub,6:00 AM,2:00 PM,Available
W0004,Ravi Doss,9000000004,Bengaluru_Hub,6:00 AM,2:00 PM,On-Duty
W0005,Vikram Prabhu,9000000005,Bengaluru_Hub,10:00 PM,6:00 AM,Available
W0006,Bala Nair,9000000006,Bengaluru_Hub,6:00 AM,2:00 PM,On-Duty
W0007,Priya Gupta,9000000007,Bengaluru_Hub,9:00 AM,6:00 PM,Available
W0008,Divya Chandran,9000000008,Bengaluru_Hub,6:00 AM,2:00 PM,Available
W0009,Suresh Das,9000000009,Bengaluru_Hub,9:00 AM,6:00 PM,On-Duty
W0010,Meena Raj,9000000010,Bengaluru_Hub,10:00 PM,6:00 AM,Available
W0011,Mahesh Sharma,9000000011,Bengaluru_Hub,6:00 AM,2:00 PM,On-Duty
W0012,Radha Doss,9000000012,Bengaluru_Hub,9:00 AM,6:00 PM,On-Duty
W0013,Vikram Krishnan,9000000013,Bengaluru_Hub,6:00 AM,2:00 PM,On-Duty
W0014,Kiran Rao,9000000014,Bengaluru_Hub,6:00 AM,2:00 PM,On-Duty
W0015,Uma Murthy,9000000015,Bengaluru_Hub,10:00 PM,6:00 AM,Available
W0016,Sanjay Das,9000000016,Bengaluru_Hub,2:00 PM,10:00 PM,Available
W0017,Divya Nair,9000000017,Bengaluru_Hub,6:00 AM,2:00 PM,On-Duty
W0018,Senthil Pillai,9000000018,Chennai_Hub,2:00 PM,10:00 PM,Available
W0019,Ganesh Prabhu,9000000019,Chennai_Hub,2:00 PM,10:00 PM,On-Duty
W0020,Radha Raj,9000000020,Chennai_Hub,2:00 PM,10:00 PM,On-Duty
W0021,Meena Chandran,9000000021,Chennai_Hub,10:00 PM,6:00 AM,Available
W0022,Divya Subramaniam,9000000022,Chennai_Hub,9:00 AM,6:00 PM,Available
W0023,Praveen Sharma,9000000023,Chennai_Hub,10:00 PM,6:00 AM,Available
W0024,Ramesh Pillai,9000000024,Chennai_Hub,9:00 AM,6:00 PM,On-Duty
W0025,Lakshmi Subramaniam,9000000025,Chennai_Hub,10:00 PM,6:00 AM,Available
W0026,Ramesh Shetty,9000000026,Chennai_Hub,10:00 PM,6:00 AM,Available
W0027,Vijay Murthy,9000000027,Chennai_Hub,2:00 PM,10:00 PM,On-Duty
W0028,Meena Gupta,9000000028,Chennai_Hub,6:00 AM,2:00 PM,Available
W0029,Muthu Menon,9000000029,Chennai_Hub,9:00 AM,6:00 PM,On-Duty
W0030,Uma Kumar,9000000030,Chennai_Hub,6:00 AM,2:00 PM,On-Duty
W0031,Kiran Nair,9000000031,Delhi_Hub,9:00 AM,6:00 PM,Available
W0032,Lakshmi Reddy,9000000032,Delhi_Hub,10:00 PM,6:00 AM,Available
W0033,Ajay Nair,9000000033,Delhi_Hub,2:00 PM,10:00 PM,Available
W0034,Suresh Rao,9000000034,Delhi_Hub,2:00 PM,10:00 PM,Available
W0035,Kiran Reddy,9000000035,Delhi_Hub,6:00 AM,2:00 PM,On-Duty
W0036,Praveen Kumar,9000000036,Delhi_Hub,6:00 AM,2:00 PM,On-Duty
W0037,Gopal Rao,9000000037,Delhi_Hub,2:00 PM,10:00 PM,Available
W0038,Gopal Subramaniam,9000000038,Delhi_Hub,6:00 AM,2:00 PM,Available
W0039,Praveen Krishnan,9000000039,Delhi_Hub,2:00 PM,10:00 PM,Available
W0040,Praveen Prabhu,9000000040,Delhi_Hub,2:00 PM,10:00 PM,Available
W0041,Uma Doss,9000000041,Delhi_Hub,10:00 PM,6:00 AM,On-Duty
W0042,Mahesh Prabhu,9000000042,Delhi_Hub,2:00 PM,10:00 PM,On-Duty
W0043,Kavitha Das,9000000043,Delhi_Hub,10:00 PM,6:00 AM,On-Duty
W0044,Naveen Murthy,9000000044,Delhi_Hub,2:00 PM,10:00 PM,Available
W0045,Deepak Kumar,9000000045,Delhi_Hub,2:00 PM,10:00 PM,On-Duty
W0046,Arun Krishnan,9000000046,Delhi_Hub,6:00 AM,2:00 PM,Available
W0047,Uma Chandran,9000000047,Hyderabad_Hub,6:00 AM,2:00 PM,Available
W0048,Ganesh Varma,9000000048,Hyderabad_Hub,2:00 PM,10:00 PM,Available
W0049,Ajay Subramaniam,9000000049,Hyderabad_Hub,10:00 PM,6:00 AM,Available
W0050,Praveen Gupta,9000000050,Hyderabad_Hub,2:00 PM,10:00 PM,Available
W0051,Rahul Gupta,9000000051,Hyderabad_Hub,9:00 AM,6:00 PM,Available
W0052,Naveen Raj,9000000052,Hyderabad_Hub,6:00 AM,2:00 PM,Available
W0053,Ajay Chandran,9000000053,Hyderabad_Hub,6:00 AM,2:00 PM,Available
W0054,Divya Prabhu,9000000054,Hyderabad_Hub,10:00 PM,6:00 AM,Available
W0055,Priya Nair,9000000055,Hyderabad_Hub,10:00 PM,6:00 AM,Available
W0056,Mahesh Krishnan,9000000056,Hyderabad_Hub,10:00 PM,6:00 AM,On-Duty
W0057,Uma Prabhu,9000000057,Hyderabad_Hub,6:00 AM,2:00 PM,Available
W0058,Senthil Kumar,9000000058,Hyderabad_Hub,6:00 AM,2:00 PM,On-Duty
W0059,Anitha Reddy,9000000059,Kolkata_Hub,10:00 PM,6:00 AM,Available
W0060,Divya Sharma,9000000060,Kolkata_Hub,6:00 AM,2:00 PM,Available
W0061,Arun Sharma,9000000061,Kolkata_Hub,9:00 AM,6:00 PM,On-Duty
W0062,Meena Menon,9000000062,Kolkata_Hub,9:00 AM,6:00 PM,Available
W0063,Ajay Prabhu,9000000063,Kolkata_Hub,10:00 PM,6:00 AM,Available
W0064,Manoj Iyer,9000000064,Kolkata_Hub,6:00 AM,2:00 PM,On-Duty
W0065,Senthil Raj,9000000065,Kolkata_Hub,9:00 AM,6:00 PM,Available
W0066,Bala Varma,9000000066,Kolkata_Hub,2:00 PM,10:00 PM,Available
W0067,Ravi Krishnan,9000000067,Kolkata_Hub,2:00 PM,10:00 PM,Available
W0068,Karthik Pillai,9000000068,Kolkata_Hub,10:00 PM,6:00 AM,Available
W0069,Gopal Subramaniam,9000000069,Kolkata_Hub,2:00 PM,10:00 PM,On-Duty
W0070,Vijay Doss,9000000070,Kolkata_Hub,6:00 AM,2:00 PM,Available
W0071,Bala Subramaniam,9000000071,Kolkata_Hub,9:00 AM,6:00 PM,On-Duty
W0072,Divya Chandran,9000000072,Kolkata_Hub,2:00 PM,10:00 PM,Available
W0073,Ramesh Rao,9000000073,Kolkata_Hub,10:00 PM,6:00 AM,Available
W0074,Kiran Krishnan,9000000074,Kolkata_Hub,6:00 AM,2:00 PM,Available
W0075,Bala Murthy,9000000075,Kolkata_Hub,6:00 AM,2:00 PM,Available
W0076,Ravi Nair,9000000076,Kolkata_Hub,2:00 PM,10:00 PM,On-Duty
W0077,Gopal Pillai,9000000077,Mumbai_Hub,9:00 AM,6:00 PM,Available
W0078,Naveen Prabhu,9000000078,Mumbai_Hub,9:00 AM,6:00 PM,On-Duty
W0079,Meena Shetty,9000000079,Mumbai_Hub,6:00 AM,2:00 PM,On-Duty
W0080,Senthil Rao,9000000080,Mumbai_Hub,6:00 AM,2:00 PM,On-Duty
W0081,Ramesh Nair,9000000081,Mumbai_Hub,6:00 AM,2:00 PM,On-Duty
W0082,Ajay Prabhu,9000000082,Mumbai_Hub,2:00 PM,10:00 PM,Available
W0083,Muthu Iyer,9000000083,Mumbai_Hub,9:00 AM,6:00 PM,Available
W0084,Sanjay Nair,9000000084,Mumbai_Hub,10:00 PM,6:00 AM,Available
W0085,Mahesh Raj,9000000085,Mumbai_Hub,6:00 AM,2:00 PM,On-Duty
W0086,Radha Nair,9000000086,Mumbai_Hub,6:00 AM,2:00 PM,Available
W0087,Kiran Naidu,9000000087,Mumbai_Hub,9:00 AM,6:00 PM,Available
W0088,Naveen Prabhu,9000000088,Mumbai_Hub,10:00 PM,6:00 AM,On-Duty
